Afghanistan,ICC World XI,India,Pakistan,Bangladesh,Sri Lanka,West Indies,Zimbabwe,England,New Zealand,South Africa,Australia,Ireland,date,Test
1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,0000-00-00,Test #0000
1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1186.8781,1200.0,1213.1219,1200.0,1946-03-29,Test # 275
1200.0,1200.0,1190.9219,1200.0,1200.0,1200.0,1200.0,1200.0,1209.0781,1186.8781,1200.0,1213.1219,1200.0,1946-06-22,Test # 276
1200.0,1200.0,1193.4988,1200.0,1200.0,1200.0,1200.0,1200.0,1206.5012,1186.8781,1200.0,1213.1219,1200.0,1946-07-20,Test # 277
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1204.0806,1186.8781,1200.0,1213.1219,1200.0,1946-08-17,Test # 278
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1195.2804,1186.8781,1200.0,1221.9221,1200.0,1946-12-04,Test # 279
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1187.0123,1186.8781,1200.0,1230.1902,1200.0,1946-12-13,Test # 280
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1190.3318,1186.8781,1200.0,1226.8707,1200.0,1947-01-01,Test # 281
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1193.4571,1186.8781,1200.0,1223.7454,1200.0,1947-02-06,Test # 282
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1185.2976,1186.8781,1200.0,1231.9049,1200.0,1947-03-05,Test # 283
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1187.3683,1184.8074,1200.0,1231.9049,1200.0,1947-03-21,Test # 284
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1185.739,1184.8074,1201.6293,1231.9049,1200.0,1947-06-07,Test # 285
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1195.3117,1184.8074,1192.0566,1231.9049,1200.0,1947-06-21,Test # 286
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1204.2895,1184.8074,1183.0788,1231.9049,1200.0,1947-07-05,Test # 287
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1212.7205,1184.8074,1174.6478,1231.9049,1200.0,1947-07-26,Test # 288
1200.0,1200.0,1195.9194,1200.0,1200.0,1200.0,1200.0,1200.0,1209.5501,1184.8074,1177.8182,1231.9049,1200.0,1947-08-16,Test # 289
1200.0,1200.0,1187.9284,1200.0,1200.0,1200.0,1200.0,1200.0,1209.5501,1184.8074,1177.8182,1239.8959,1200.0,1947-12-04,Test # 290
1200.0,1200.0,1191.5016,1200.0,1200.0,1200.0,1200.0,1200.0,1209.5501,1184.8074,1177.8182,1236.3227,1200.0,1947-12-12,Test # 291
1200.0,1200.0,1183.7689,1200.0,1200.0,1200.0,1200.0,1200.0,1209.5501,1184.8074,1177.8182,1244.0554,1200.0,1948-01-01,Test # 292
1200.0,1200.0,1183.7689,1200.0,1200.0,1200.0,1198.2745,1200.0,1211.2756,1184.8074,1177.8182,1244.0554,1200.0,1948-01-21,Test # 293
1200.0,1200.0,1176.4785,1200.0,1200.0,1200.0,1198.2745,1200.0,1211.2756,1184.8074,1177.8182,1251.3458,1200.0,1948-01-23,Test # 294
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1198.2745,1200.0,1211.2756,1184.8074,1177.8182,1258.2313,1200.0,1948-02-06,Test # 295
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1196.6568,1200.0,1212.8933,1184.8074,1177.8182,1258.2313,1200.0,1948-02-11,Test # 296
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1206.2404,1200.0,1203.3097,1184.8074,1177.8182,1258.2313,1200.0,1948-03-03,Test # 297
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1215.2281,1200.0,1194.322,1184.8074,1177.8182,1258.2313,1200.0,1948-04-01,Test # 298
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1215.2281,1200.0,1183.2191,1184.8074,1177.8182,1269.3342,1200.0,1948-06-10,Test # 299
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1215.2281,1200.0,1172.8247,1184.8074,1177.8182,1279.7286,1200.0,1948-06-24,Test # 300
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1215.2281,1200.0,1174.1885,1184.8074,1177.8182,1278.3648,1200.0,1948-07-08,Test # 301
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1215.2281,1200.0,1164.3664,1184.8074,1177.8182,1288.1869,1200.0,1948-07-22,Test # 302
1200.0,1200.0,1169.593,1200.0,1200.0,1200.0,1215.2281,1200.0,1155.1589,1184.8074,1177.8182,1297.3944,1200.0,1948-08-14,Test # 303
1200.0,1200.0,1169.0068,1200.0,1200.0,1200.0,1215.8143,1200.0,1155.1589,1184.8074,1177.8182,1297.3944,1200.0,1948-11-10,Test # 304
1200.0,1200.0,1168.458,1200.0,1200.0,1200.0,1216.3631,1200.0,1155.1589,1184.8074,1177.8182,1297.3944,1200.0,1948-12-09,Test # 305
1200.0,1200.0,1168.458,1200.0,1200.0,1200.0,1216.3631,1200.0,1168.9715,1184.8074,1164.0056,1297.3944,1200.0,1948-12-16,Test # 306
1200.0,1200.0,1168.458,1200.0,1200.0,1200.0,1216.3631,1200.0,1170.8396,1184.8074,1162.1375,1297.3944,1200.0,1948-12-27,Test # 307
1200.0,1200.0,1167.9442,1200.0,1200.0,1200.0,1216.8769,1200.0,1170.8396,1184.8074,1162.1375,1297.3944,1200.0,1949-01-04,Test # 308
1200.0,1200.0,1167.9442,1200.0,1200.0,1200.0,1216.8769,1200.0,1172.5915,1184.8074,1160.3856,1297.3944,1200.0,1949-01-01,Test # 309
1200.0,1200.0,1156.3631,1200.0,1200.0,1200.0,1228.458,1200.0,1172.5915,1184.8074,1160.3856,1297.3944,1200.0,1949-01-27,Test # 310
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1172.5915,1184.8074,1160.3856,1297.3944,1200.0,1949-02-04,Test # 311
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1174.2341,1184.8074,1158.743,1297.3944,1200.0,1949-02-12,Test # 312
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1186.8739,1184.8074,1146.1032,1297.3944,1200.0,1949-03-05,Test # 313
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1184.7883,1186.893,1146.1032,1297.3944,1200.0,1949-06-11,Test # 314
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1182.8315,1188.8498,1146.1032,1297.3944,1200.0,1949-06-25,Test # 315
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1180.9961,1190.6852,1146.1032,1297.3944,1200.0,1949-07-23,Test # 316
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1179.275,1192.4063,1146.1032,1297.3944,1200.0,1949-08-13,Test # 317
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1179.275,1192.4063,1137.7348,1305.7628,1200.0,1949-12-24,Test # 318
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1179.275,1192.4063,1129.8624,1313.6352,1200.0,1950-01-04,Test # 319
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1179.275,1192.4063,1122.4442,1321.0534,1200.0,1950-01-20,Test # 320
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1179.275,1192.4063,1126.5417,1316.9559,1200.0,1950-02-10,Test # 321
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1228.1994,1200.0,1179.275,1192.4063,1119.3112,1324.1864,1200.0,1950-03-03,Test # 322
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1217.5807,1200.0,1189.8937,1192.4063,1119.3112,1324.1864,1200.0,1950-06-08,Test # 323
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1229.8366,1200.0,1177.6378,1192.4063,1119.3112,1324.1864,1200.0,1950-06-24,Test # 324
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1241.3135,1200.0,1166.1609,1192.4063,1119.3112,1324.1864,1200.0,1950-07-20,Test # 325
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1252.0573,1200.0,1155.4171,1192.4063,1119.3112,1324.1864,1200.0,1950-08-12,Test # 326
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1252.0573,1200.0,1150.8101,1192.4063,1119.3112,1328.7934,1200.0,1950-12-01,Test # 327
1200.0,1200.0,1156.6217,1200.0,1200.0,1200.0,1252.0573,1200.0,1146.3938,1192.4063,1119.3112,1333.2097,1200.0,1950-12-22,Test # 328
