Date,Match,ELO Difference
2022-01-01,Bangladesh beat New Zealand by 8 wickets at Mount Maunganui (Test # 2444),301.92779999999993
2017-08-27,Bangladesh beat Australia by 20 runs at Mirpur (Test # 2272),294.2528
2013-09-10,Zimbabwe beat Pakistan by 24 runs at Harare (Test # 2096),289.5328999999999
2016-10-28,Bangladesh beat England by 108 runs at Mirpur (Test # 2227),276.0721000000001
2023-12-02,Bangladesh beat New Zealand by 150 runs at Sylhet (Test # 2516),244.75880000000006
2021-03-02,Zimbabwe beat Afghanistan by 10 wickets at Abu Dhabi (Test # 2413),242.89069999999992
2024-01-25,West Indies beat Australia by 8 runs at Brisbane (Test # 2524),238.94209999999998
2003-05-09,West Indies beat Australia by 3 wickets at St John's (Test # 1645),238.5241000000001
1959-12-19,India beat Australia by 119 runs at Kanpur (Test # 483),231.28599999999983
1990-03-01,England beat West Indies by 9 wickets at Kingston (Test # 1140),223.74310000000014
1969-03-07,New Zealand beat West Indies by 6 wickets at Wellington (Test # 651),213.66730000000007
2017-03-15,Bangladesh beat Sri Lanka by 4 wickets at Colombo (PSS) (Test # 2254),208.32650000000012
1989-01-26,Australia beat West Indies by 7 wickets at Sydney (Test # 1113),202.42169999999987
1994-04-08,England beat West Indies by 208 runs at Bridgetown (Test # 1258),200.68139999999994
1952-12-24,South Africa beat Australia by 82 runs at Melbourne (Test # 361),190.51960000000008
2001-03-11,India beat Australia by 171 runs at Eden Gardens (Test # 1535),185.43180000000007
2019-01-23,West Indies beat England by 381 runs at Bridgetown (Test # 2342),184.39879999999994
2024-08-21,Bangladesh beat Pakistan by 10 wickets at Rawalpindi (Test # 2544),183.9681999999999
2008-01-16,India beat Australia by 72 runs at W.A.C.A (Test # 1862),183.2421999999999
2016-11-03,West Indies beat Pakistan by 5 wickets at Sharjah (Test # 2229),181.26960000000008
